left_elbow-left_wrist,left_elbow_angle,left_hip-left_knee,left_hip_angle,left_knee-left_ankle,left_knee_angle,left_shoulder-left_elbow,left_shoulder_angle,mid_shoulder-mid_hip,mid_shoulder_angle,nose-mid_shoulder,right_elbow-right_wrist,right_elbow_angle,right_hip-right_knee,right_hip_angle,right_knee-right_ankle,right_knee_angle,right_shoulder-right_elbow,right_shoulder_angle
137.03428622680468,218.36242943771407,77.7317714393074,255.2380324094138,77.37854546363371,179.6467740243263,98.67185678909063,281.68973891266086,90.94379195724086,214.9649826255892,55.97880933165163,111.76810202806892,204.02487456054723,111.14881400460855,108.65508540537353,86.96570607880548,155.81689207419694,87.74322746752166,90.76109941012595
139.49521962959105,221.60428400967095,73.93024341041863,250.4895966905502,75.23251473177245,181.30227132135383,97.8909356199201,281.07732571458257,90.7330087218514,215.34483957418252,55.3881691476689,114.31786123473124,200.61023745806608,106.92218535788815,103.48142866458736,96.97764668208094,170.0554613241928,93.70762377666516,96.89400252797874
142.68032942373787,224.0068936773188,71.59084306912085,249.3417902667672,72.42022578318453,180.82938271406368,98.67343574641907,286.35172281335065,90.91972875059133,216.96980363565305,53.94992511493825,124.52225745655564,213.79806462151677,106.93128764146851,104.68211834339986,105.04688582478013,178.1155981833116,90.7241928350389,98.40239970269337
142.2557016701657,225.04436466403948,66.99773554771274,245.75011637040987,67.8327624508978,180.83502690318508,97.21133700612627,288.0707705228592,89.82345080200443,213.3486391336514,56.47481166835304,88.02867076821249,178.7619206622445,108.62661153387349,107.3789975736221,109.43774391609452,180.81113238222105,89.266750105968,100.1261836227009
143.08129463455873,224.9654506955596,67.81053664927215,247.8105366492721,62.548739265117185,174.73820261584504,98.11584393899913,292.1760764516975,90.75499159485072,214.85525587956104,55.8997357152897,128.03953411766489,218.81241499654945,104.1744261128162,104.1744261128162,106.130222193509,181.95579608069283,89.2271191211155,103.2873017657552
140.88049831671475,223.5607693904896,68.11491778565879,252.1094358040369,57.2886391053512,169.1737213196924,97.31972892622518,287.1944145124318,91.35811981275178,216.67353685742967,54.68458295532212,-28.22343739223176,62.510351767314106,103.38062427088668,107.37516009281909,101.98016714810504,178.59954287721837,89.26621084045412,99.14079785329517
138.3647868430549,224.44677512576567,71.39608395041428,248.603179110353,50.64220144326988,159.2461174928556,93.9180117172892,285.2285908796932,92.79255634977672,221.5197625129965,51.272793836780224,-19.654879781725935,70.34512021827406,100.14491939928043,97.352135390294,99.5485810219872,179.40366162270675,90.0,101.31057916240408
133.54160757817735,221.11902156437367,78.04118909114828,255.0321626407527,43.56679650218845,145.52560741104017,92.42258601380361,285.7988157675466,92.492678402692,216.6858227420526,55.80685566063937,114.5648820364982,204.56488203649815,100.52554277572756,97.51666068953014,94.05465481710195,173.5291120413744,90.0,103.37622975374296
129.26327540240254,216.81597297282056,85.52760069650985,263.78704246444454,40.198408768961,134.67080807245117,92.44730242958195,277.776411377603,92.43860419447388,219.58361240995967,52.85499178451419,107.19691613833974,197.19691613833973,99.71739837909891,97.97685029757177,90.51474733418284,170.79734895508395,90.0,95.32904535442003
122.6623345659246,210.30743337496287,93.6437141645659,275.6173217301269,37.21604098510388,123.57232682053798,92.35490119096173,282.6528922338003,93.07955102755261,221.2061257319729,51.87342529557976,97.52899604290398,184.69994448027967,97.8970215229474,99.87043959614688,85.87490163368415,167.97788011073672,92.8290515626243,103.1270591415127
115.78870027552225,204.159266722314,101.48553310143149,275.6039846400773,39.31036755300195,117.82483445157044,91.62943355320829,281.87719580224245,93.47166869815219,218.650759629521,54.8209090686312,99.59628646061068,187.403263890866,90.0,84.11848041894163,83.46573649963395,173.46573649963395,92.19302256974464,102.44074612985064
111.72296005646112,203.2243952110656,108.03658178301244,296.19869952891867,43.312459008434885,115.27587722542243,88.49856484539555,283.624384141148,90.39910622316599,217.1597954532946,53.239310769871366,102.70848105305488,189.10131006191824,86.23675277311484,94.39874150930397,81.90169189655806,175.6649391234432,93.60717099113663,108.7328871601405
107.17067201771188,197.92488025065697,112.54427074854594,295.55543009295116,50.3073607798011,117.76309003125515,89.24579176705491,279.0598233286109,92.70028505563153,221.23938024902225,51.46090480660929,105.26300170373158,188.1340765979416,81.54801580971156,84.55915994596259,80.26720450706371,178.7191886973522,97.12892510579,106.94300809308388
105.40669350470073,201.75164080468576,112.21869449642904,298.5540140800387,59.867396948870805,127.64870245244175,83.65505270001489,273.65549889227367,93.32028340972731,218.97436930160805,54.345914108119274,110.78676627727091,194.4418210756566,75.82259998949725,82.15791957310691,77.65181215459795,181.82921216510067,96.34494520161432,106.34548054123596
102.68182261826206,201.64165587664627,115.019124092501,299.59947416007844,59.77976691865228,124.76064282615128,81.04016674161576,270.87341210376275,93.00839977941904,221.34987455038083,51.65852522903824,112.29945588188669,196.4305109820318,73.1647122858913,77.74528161499481,93.29703764557951,200.13232535968825,95.86894489985487,105.70227746478707
101.28353773716924,204.92332147152044,116.02102483735092,298.31722811186785,55.10392766000199,119.08290282265108,76.36021626564883,267.07027772320737,92.04780751580152,217.47017190684923,54.57763560895226,113.52422825632613,196.11042199345945,69.92479134792282,72.22077406996085,77.11212829455097,187.18733694662816,97.4138062628667,108.12386772042528
