sector1,sector2,sector3,sector4,sector5,sector6,sector7,sector8,sector9,sector10,sector11
0.45,1.51,2.26,56.67,0.39759036144578314,60.0,20.33,8.67,69.33,50.83,38.33
0.92,1.76,2.69,73.34,0.736867469879518,101.67,29.0,7.0,98.16,77.17,58.33
0.0,1.89,2.21,80.0,0.8192771084337349,93.33,29.17,4.5,75.17,74.83,66.67
0.43,1.99,2.52,68.33,0.773012048192771,90.0,27.67,5.33,77.34,69.0,61.67
1.58,2.09,1.19,61.67,0.7831325301204819,80.0,21.67,4.5,65.66,67.17,63.33
1.55,2.16,1.49,58.33,0.6124096385542168,70.0,18.67,4.17,80.33,67.67,56.67
0.96,2.2,1.62,58.34,0.45180722891566266,71.66,17.5,4.0,57.17,59.83,50.0
0.04,2.29,0.97,55.0,0.42566265060240965,61.67,21.0,7.17,49.0,58.33,50.0
0.31,2.22,0.95,55.0,0.45180722891566266,60.0,19.83,3.17,59.83,58.17,65.0
1.05,2.14,0.8,51.66,0.41566265060240964,55.0,18.33,3.17,53.66,56.17,48.33
0.72,2.06,0.46,43.33,0.32939759036144584,48.33,15.17,3.17,47.66,53.0,45.0
0.45,2.15,1.25,45.0,0.35144578313253017,48.33,21.33,2.33,55.16,50.67,41.67
0.99,2.23,1.9,51.66,0.401566265060241,53.34,19.67,3.17,46.84,49.83,45.0
1.03,2.35,1.67,55.0,0.38951807228915664,56.66,16.5,3.33,52.0,56.83,46.67
0.2,2.42,1.65,58.33,0.35144578313253017,55.0,19.5,4.5,65.0,66.0,61.67
0.27,2.28,1.35,63.33,0.38951807228915664,55.0,19.67,3.0,71.5,68.0,60.0
0.93,1.76,1.37,41.67,0.33939759036144584,43.34,13.83,2.17,54.83,46.5,41.67
0.9,1.25,1.48,38.33,0.24493975903614457,38.33,18.33,1.67,40.17,34.83,30.0
0.33,1.04,0.87,23.33,0.1645783132530121,30.0,8.0,1.5,33.67,22.67,30.0
0.33,0.91,1.08,15.0,0.10240963855421688,25.0,6.17,1.17,31.16,15.17,25.0
0.22,0.84,1.22,18.33,0.08638554216867471,26.67,7.0,2.33,41.83,13.67,18.33
0.17,0.8,1.83,13.33,0.06819277108433734,26.67,5.5,3.5,35.0,13.83,23.33
0.15,0.85,1.7,16.67,0.0924096385542169,23.33,8.5,3.67,42.0,27.67,20.0
0.35,0.94,2.63,21.67,0.13855421686746988,35.0,8.83,2.0,45.0,35.17,21.67
0.5,1.26,1.5,60.0,0.3373493975903615,56.67,18.33,7.33,59.0,51.5,41.67
0.85,1.47,2.03,75.0,0.7390361445783132,81.67,27.5,7.83,82.84,78.17,56.67
0.0,1.58,2.37,71.66,0.6285542168674699,91.66,28.83,8.0,78.34,74.33,61.67
0.0,1.66,1.19,66.67,0.6786746987951807,85.0,25.0,5.33,81.83,66.0,55.0
0.0,1.75,1.54,60.0,0.6586746987951807,75.0,18.33,5.17,72.84,64.5,66.67
0.75,1.8,1.12,58.33,0.5562650602409639,66.67,18.33,5.17,62.33,60.17,53.33
0.1,1.83,1.93,55.0,0.44373493975903616,66.67,18.83,5.17,60.5,57.83,56.67
0.0,1.91,2.03,56.66,0.39361445783132537,58.33,17.83,7.83,62.5,63.83,53.33
0.87,1.86,2.18,51.66,0.4257831325301205,56.66,17.17,4.5,69.17,60.33,61.67
0.89,1.79,2.07,51.66,0.427710843373494,55.0,16.5,4.5,56.0,55.5,50.0
0.48,1.72,1.57,46.67,0.31927710843373497,46.67,15.5,4.0,48.84,49.83,43.33
0.38,1.8,1.53,46.67,0.34337349397590367,46.66,20.17,4.0,49.83,54.5,45.0
0.47,1.86,1.4,53.33,0.3614457831325302,50.0,19.5,5.0,49.33,50.33,50.0
0.55,1.97,2.08,53.33,0.3996385542168675,55.0,17.0,3.33,58.67,56.17,46.67
